School;Location;Median_VCE_Score;Median_Price_2023;latitude;longitude
Springside West Secondary College;FRASER RISE;27;700000;-37,7147682;144,7293679
St Albans Secondary College;ST ALBANS;31;650000;-37,7470407;144,8076176
St Helena Secondary College;ELTHAM NORTH;29;1046000;-37,6879161;145,1393941
Staughton College;MELTON SOUTH;23;495000;-37,7074054;144,5686713
Stawell Secondary College;STAWELL;23;325000;-37,0618087;142,7905801
Strathmore Secondary College;STRATHMORE;30;1200000;-37,737463;144,9276851
Sunbury College;SUNBURY;27;637500;-37,57449655;144,7298074
Sunbury Downs Secondary College;SUNBURY;29;637500;-37,5831522;144,7053127
Sunshine College;SUNSHINE WEST;25;638000;-37,79069845;144,8288621
Surf Coast Secondary College;TORQUAY;29;1300000;-38,3040789;144,3238471
Suzanne Cory High School;WERRIBEE;35;587000;-37,89404465;144,6993785
Swan Hill College;SWAN HILL;28;412000;-35,334394;143,552992
Swinburne Senior Secondary College;HAWTHORN;27;2601000;-37,8226772;145,0405569
Tallangatta Secondary College;TALLANGATTA;26;401500;-36,2193575;147,172802
Tarneit Senior College;TARNEIT;23;651000;-37,83400665;144,6802804
Taylors Lakes Secondary College;TAYLORS LAKES;27;820000;-37,70750755;144,7934567
Templestowe College;TEMPLESTOWE LOWER;29;1580000;-37,7669248;145,1229706
The Grange P-12 College;HOPPERS CROSSING;25;625000;-37,85719053;144,6746443
The Lakes South Morang College;SOUTH MORANG;24;710000;-37,63372815;145,0753434
Thomastown Secondary College;THOMASTOWN;25;680000;-37,67795865;145,002868
Thornbury High School;THORNBURY;31;1250000;-37,75684815;145,0253098
Timboon P-12 School;TIMBOON;28;558000;-38,4842453;142,9759756
Trafalgar High School;TRAFALGAR;27;455000;-38,21338205;146,1584036
Traralgon College;TRARALGON;25;449000;-38,2006038;146,51317
Tyrrell College;SEA LAKE;25;99500;-35,5103146;142,8535031
University High School;PARKVILLE;31;2500000;-37,79475308;144,9552087
Upper Yarra Secondary College;YARRA JUNCTION;25;693000;-37,7909514;145,6248742
Upwey High School;UPWEY;27;810000;-37,90370795;145,3348573
Vermont Secondary College;VERMONT;32;1200000;-37,8437964;145,2009003
Viewbank College;VIEWBANK;31;1083000;-37,74158625;145,0864089
Virtual School Victoria;THORNBURY;26;1250000;-37,7616302;145,0256561
Wallan Secondary College;WALLAN;21;600000;-37,4181935;144,9805625
Wangaratta High School;WANGARATTA;28;460000;-36,34422;146,3086964
Warragul Regional College;WARRAGUL;25;616500;-38,165425;145,9227772
Warrandyte High School;WARRANDYTE;24;1380000;-37,7465024;145,185107
Wedderburn College;WEDDERBURN;28;357500;-36,4173138;143,6187809
Wellington Secondary College;MULGRAVE;28;933000;-37,93317585;145,1696251
Werribee Secondary College;WERRIBEE;28;587000;-37,9065954;144,6689891
Westall Secondary College;CLAYTON SOUTH;27;942000;-37,9411434;145,1360354
Western Port Secondary College;HASTINGS;25;682500;-38,30981455;145,1753202
Wheelers Hill Secondary College;WHEELERS HILL;26;1524000;-37,91012815;145,1806678
Whittlesea Secondary College;WHITTLESEA;22;712500;-37,51645225;145,1201968
William Ruthven Secondary College;RESERVOIR;27;815000;-37,6950814;145,0027401
Williamstown High School;WILLIAMSTOWN;32;1390000;-37,86231806;144,8949757
Wodonga Senior Secondary College;WODONGA;23;497500;-36,1263813;146,8795688
Woodmans Hill Secondary College;BALLARAT EAST;29;495000;-37,55960465;143,8947857
Wycheproof P-12 College;WYCHEPROOF;29;218000;-36,07542895;143,229431
Wyndham Central Secondary College;WERRIBEE;24;587000;-37,8875618;144,6543145
Yarram Secondary College;YARRAM;26;387500;-38,5682388;146,6844649
Yarrawonga College P-12;YARRAWONGA;26;591000;-36,01889821;146,007772
Yea High School;YEA;25;420000;-37,2156397;145,4079111
